cliente_id,region,experiencia_digital,satisfaccion_servicio,ingreso_anual_soles,gasto_mensual_soles,ratio_deuda,indice_ahorro,clase
CLI-01479,Piura,Medio,Baja,61011.94,3408.26,0.6563,0.2888,Clase_C_alto_riesgo
CLI-01585,Junín,Medio,Alta,50041.86,2210.18,0.1119,0.85,Clase_B_riesgo_medio
CLI-01783,Arequipa,Bajo,Media,52741.6,2846.67,0.2923,0.752,Clase_B_riesgo_medio
CLI-00453,Arequipa,Medio,Media,50661.95,2772.24,0.2148,0.5954,Clase_A_bajo_riesgo
CLI-00421,Piura,Bajo,Muy baja,30950.9,1364.95,0.6301,0.2505,Clase_C_alto_riesgo
CLI-01968,Lima,Bajo,Alta,32539.79,1465.84,0.0853,0.8283,Clase_A_bajo_riesgo
CLI-01428,Junín,Medio,Media,78698.78,4005.75,0.3228,0.5604,Clase_B_riesgo_medio
CLI-01950,Arequipa,Bajo,Media,42937.9,2278.21,0.3157,0.6695,Clase_B_riesgo_medio
CLI-00399,La Libertad,Medio,Media,63793.48,3458.72,0.5235,0.2934,Clase_C_alto_riesgo
CLI-01326,Lima,Alto,Alta,73151.49,3226.3,0.3715,0.5699,Clase_A_bajo_riesgo
CLI-00378,Lima,Alto,Alta,108650.12,6260.05,0.02,0.8376,Clase_A_bajo_riesgo
CLI-01523,Lima,Bajo,Muy baja,38642.41,1740.45,0.4628,0.3908,Clase_C_alto_riesgo
CLI-00475,Arequipa,Medio,Baja,45721.84,2570.38,0.4296,0.4943,Clase_C_alto_riesgo
CLI-01178,Lima,Alto,Alta,46382.74,2471.39,0.1769,0.7648,Clase_B_riesgo_medio
CLI-00567,Lima,Bajo,Media,33310.46,2035.78,0.242,0.5987,Clase_B_riesgo_medio
CLI-00075,La Libertad,Alto,Media,39461.31,1916.67,0.3651,0.5709,Clase_B_riesgo_medio
CLI-00257,Junín,Medio,Baja,40576.98,2435.6,0.2151,0.5989,Clase_A_bajo_riesgo
CLI-01688,Arequipa,Medio,Baja,61191.94,3028.93,0.4608,0.4633,Clase_C_alto_riesgo
CLI-01701,Junín,Medio,Alta,52557.45,2189.33,0.3272,0.6567,Clase_B_riesgo_medio
CLI-01854,Piura,Muy alto,Media,92850.71,4259.69,0.4603,0.4641,Clase_B_riesgo_medio
CLI-00229,Piura,Medio,Media,36674.52,2094.79,0.0481,0.7965,Clase_A_bajo_riesgo
CLI-00245,Lima,Alto,Baja,63849.44,3310.84,0.5396,0.3464,Clase_C_alto_riesgo
CLI-00704,Lima,Bajo,Media,31258.65,1888.19,0.0805,0.7776,Clase_B_riesgo_medio
CLI-00509,Junín,Alto,Muy alta,78270.38,3880.39,0.2911,0.7388,Clase_B_riesgo_medio
CLI-01103,Piura,Muy alto,Muy alta,102652.03,5517.56,0.0776,0.8009,Clase_A_bajo_riesgo
CLI-00929,Cusco,Alto,Alta,82177.95,3502.64,0.3093,0.6866,Clase_B_riesgo_medio
CLI-00814,Junín,Bajo,Alta,27754.06,1651.1,0.1586,0.7359,Clase_B_riesgo_medio
CLI-01034,Lima,Bajo,Alta,46636.99,2075.44,0.1567,0.7775,Clase_B_riesgo_medio
CLI-00207,Lima,Medio,Alta,38199.28,2175.1,0.02,0.843,Clase_A_bajo_riesgo
CLI-00951,Cusco,Alto,Media,54932.81,3123.61,0.3391,0.5283,Clase_B_riesgo_medio
CLI-01989,Arequipa,Medio,Alta,47704.04,2515.77,0.1472,0.825,Clase_A_bajo_riesgo
CLI-01441,Junín,Medio,Alta,58704.78,2251.93,0.0681,0.8308,Clase_A_bajo_riesgo
CLI-00585,Cusco,Medio,Muy baja,56513.67,2719.25,0.6622,0.1771,Clase_C_alto_riesgo
CLI-00908,Lima,Bajo,Muy baja,33173.46,1747.01,0.4577,0.4798,Clase_C_alto_riesgo
CLI-01186,Junín,Medio,Muy baja,73831.55,3312.04,0.5873,0.2955,Clase_C_alto_riesgo
CLI-00447,Junín,Bajo,Muy alta,56795.33,3023.26,0.1176,0.8455,Clase_A_bajo_riesgo
CLI-01949,Lima,Bajo,Muy baja,28527.12,1456.29,0.3711,0.4161,Clase_C_alto_riesgo
CLI-00798,Cusco,Medio,Baja,39643.16,2642.78,0.5407,0.2717,Clase_C_alto_riesgo
CLI-00095,La Libertad,Medio,Alta,63747.86,3246.75,0.1904,0.6857,Clase_B_riesgo_medio
CLI-01619,Cusco,Alto,Media,58735.03,3108.14,0.1239,0.843,Clase_A_bajo_riesgo
CLI-00664,Lima,Alto,Alta,65665.7,3511.19,0.2332,0.6744,Clase_A_bajo_riesgo
CLI-00963,Lima,Medio,Media,39699.52,2276.78,0.3345,0.5903,Clase_C_alto_riesgo
CLI-01290,Lima,Bajo,Media,43824.88,2607.91,0.1882,0.672,Clase_B_riesgo_medio
CLI-00989,Lima,Alto,Alta,68705.38,3544.58,0.2997,0.6848,Clase_B_riesgo_medio
CLI-01589,Arequipa,Bajo,Baja,44475.12,2073.99,0.4312,0.4375,Clase_B_riesgo_medio
CLI-00212,La Libertad,Alto,Media,62305.49,3458.32,0.5215,0.353,Clase_C_alto_riesgo
CLI-00628,La Libertad,Alto,Muy alta,48088.11,2596.27,0.02,0.9005,Clase_A_bajo_riesgo
CLI-00742,Lima,Bajo,Muy baja,48740.38,2630.7,0.4279,0.2338,Clase_C_alto_riesgo
CLI-00064,Lima,Medio,Baja,66692.53,2855.93,0.5008,0.4455,Clase_C_alto_riesgo
CLI-00698,Cusco,Medio,Alta,47216.86,1853.93,0.347,0.5583,Clase_B_riesgo_medio
CLI-01908,Lima,Medio,Muy alta,46265.27,2097.93,0.0471,0.8654,Clase_A_bajo_riesgo
CLI-00566,Cusco,Medio,Media,25366.31,1344.92,0.4341,0.5579,Clase_C_alto_riesgo
CLI-00883,Lima,Bajo,Alta,45606.63,2499.27,0.1695,0.6648,Clase_B_riesgo_medio
CLI-00226,Lima,Medio,Alta,73884.24,4047.6,0.251,0.6344,Clase_A_bajo_riesgo
CLI-01511,Piura,Medio,Media,36121.93,2046.45,0.3106,0.5678,Clase_B_riesgo_medio
CLI-01272,Piura,Bajo,Muy baja,35119.98,1677.96,0.7152,0.3363,Clase_C_alto_riesgo
CLI-00250,Piura,Bajo,Muy baja,44264.91,2652.07,0.4692,0.3705,Clase_C_alto_riesgo
CLI-01823,Cusco,Alto,Media,37600.5,1685.21,0.1838,0.7136,Clase_B_riesgo_medio
CLI-01140,Cusco,Bajo,Baja,44266.42,2124.25,0.4652,0.3965,Clase_C_alto_riesgo
CLI-01074,Lima,Bajo,Media,70623.46,2999.57,0.1485,0.6976,Clase_A_bajo_riesgo
CLI-00393,Lima,Medio,Baja,40865.74,2009.23,0.395,0.594,Clase_B_riesgo_medio
CLI-01845,Junín,Bajo,Baja,21325.43,1397.01,0.289,0.6203,Clase_B_riesgo_medio
CLI-00318,Lima,Medio,Alta,30695.09,2233.19,0.05,0.7748,Clase_A_bajo_riesgo
CLI-01513,Junín,Muy alto,Media,90028.03,4699.86,0.4485,0.4371,Clase_A_bajo_riesgo
CLI-01858,Arequipa,Medio,Baja,41172.67,2018.08,0.4662,0.3782,Clase_C_alto_riesgo
CLI-01790,Arequipa,Muy alto,Media,42312.93,2400.48,0.2665,0.604,Clase_A_bajo_riesgo
CLI-01873,Arequipa,Bajo,Muy baja,26377.55,1291.65,0.5262,0.2606,Clase_C_alto_riesgo
CLI-01892,Lima,Medio,Media,46586.31,2318.36,0.3563,0.514,Clase_B_riesgo_medio
CLI-00708,Piura,Bajo,Baja,31990.19,1424.75,0.4862,0.3551,Clase_C_alto_riesgo
CLI-00616,Junín,Bajo,Baja,31612.66,1666.6,0.2937,0.6676,Clase_A_bajo_riesgo
CLI-00823,Lima,Medio,Muy alta,83932.98,3527.05,0.1558,0.7409,Clase_B_riesgo_medio
CLI-01230,Lima,Bajo,Muy alta,24479.34,1286.47,0.02,0.8636,Clase_A_bajo_riesgo
CLI-01265,Lima,Alto,Baja,95516.41,5078.43,0.7009,0.2595,Clase_C_alto_riesgo
CLI-01215,La Libertad,Bajo,Media,27861.3,1719.78,0.0665,0.6566,Clase_B_riesgo_medio
CLI-01241,Piura,Medio,Media,75389.35,4144.71,0.3448,0.6028,Clase_B_riesgo_medio
CLI-00905,Arequipa,Medio,Baja,34844.62,1488.1,0.3876,0.3849,Clase_C_alto_riesgo
CLI-01072,Lima,Medio,Alta,50173.95,2551.41,0.2163,0.6675,Clase_B_riesgo_medio
CLI-00351,Arequipa,Medio,Media,60481.41,2799.04,0.1464,0.7914,Clase_A_bajo_riesgo
CLI-01052,Arequipa,Medio,Muy alta,32601.04,1714.27,0.3116,0.6508,Clase_B_riesgo_medio
CLI-01763,Lima,Medio,Alta,94109.9,5011.05,0.2406,0.6327,Clase_B_riesgo_medio
CLI-01924,Lima,Bajo,Media,44429.16,2860.68,0.1942,0.6859,Clase_B_riesgo_medio
CLI-01815,Lima,Bajo,Muy baja,28761.4,1688.47,0.5238,0.2063,Clase_C_alto_riesgo
CLI-01661,Cusco,Medio,Baja,63480.65,3255.76,0.6864,0.2244,Clase_C_alto_riesgo
CLI-01832,Cusco,Alto,Baja,147119.68,6864.92,0.776,0.2039,Clase_C_alto_riesgo
CLI-01059,Arequipa,Bajo,Media,85436.27,4467.71,0.3332,0.4886,Clase_A_bajo_riesgo
CLI-00124,Lima,Medio,Muy baja,50585.08,2994.9,0.6241,0.2712,Clase_C_alto_riesgo
CLI-00727,Lima,Bajo,Baja,41177.63,1886.54,0.4565,0.4074,Clase_C_alto_riesgo
CLI-00990,Piura,Alto,Muy alta,57180.42,3106.26,0.0675,0.8406,Clase_A_bajo_riesgo
CLI-01601,Lima,Bajo,Baja,32765.77,2094.43,0.3403,0.5477,Clase_C_alto_riesgo
CLI-01315,Arequipa,Bajo,Media,69016.06,3322.48,0.1068,0.9207,Clase_A_bajo_riesgo
CLI-00233,Cusco,Alto,Media,32556.79,1894.38,0.231,0.6311,Clase_B_riesgo_medio
CLI-00654,La Libertad,Bajo,Muy alta,49497.27,2810.14,0.0415,0.845,Clase_A_bajo_riesgo
CLI-00917,Lima,Alto,Media,50038.17,2520.51,0.1241,0.6756,Clase_A_bajo_riesgo
CLI-01248,Lima,Medio,Media,68996.79,3362.18,0.5018,0.3917,Clase_C_alto_riesgo
CLI-01021,La Libertad,Medio,Muy alta,99617.68,5693.82,0.02,0.8896,Clase_A_bajo_riesgo
CLI-00101,Lima,Muy alto,Media,110299.99,4366.02,0.3957,0.5574,Clase_A_bajo_riesgo
CLI-01711,Lima,Bajo,Media,44615.45,2196.11,0.272,0.5258,Clase_C_alto_riesgo
CLI-00991,Piura,Bajo,Baja,34696.1,1658.01,0.3623,0.4492,Clase_B_riesgo_medio
CLI-01234,Lima,Bajo,Muy baja,57616.92,2866.34,0.433,0.2964,Clase_C_alto_riesgo
CLI-01417,Lima,Medio,Media,37618.23,1972.57,0.2336,0.6723,Clase_B_riesgo_medio
CLI-01270,Lima,Alto,Media,43008.66,2335.92,0.207,0.7108,Clase_A_bajo_riesgo
CLI-01724,Lima,Bajo,Muy baja,71117.41,3420.87,0.5893,0.2793,Clase_C_alto_riesgo
CLI-00815,Piura,Medio,Media,57072.26,2914.27,0.3421,0.5792,Clase_B_riesgo_medio
CLI-00448,La Libertad,Bajo,Muy baja,31240.11,1567.17,0.5582,0.3069,Clase_C_alto_riesgo
CLI-01519,Lima,Bajo,Muy baja,54899.1,2815.38,0.5984,0.1846,Clase_C_alto_riesgo
CLI-01118,Piura,Bajo,Media,40599.59,2202.15,0.2821,0.6527,Clase_C_alto_riesgo
CLI-01302,Junín,Muy alto,Media,90362.05,4760.93,0.4034,0.4081,Clase_B_riesgo_medio
CLI-00048,Arequipa,Alto,Media,45832.18,2555.78,0.2331,0.7629,Clase_A_bajo_riesgo
CLI-01381,Lima,Medio,Baja,46019.98,2316.7,0.5069,0.2977,Clase_C_alto_riesgo
CLI-00156,Lima,Bajo,Media,28692.51,1200.55,0.1958,0.6649,Clase_C_alto_riesgo
CLI-00230,Cusco,Medio,Muy alta,51518.4,2316.98,0.1622,0.7982,Clase_A_bajo_riesgo
CLI-00871,Lima,Alto,Media,108819.35,3932.2,0.4442,0.4193,Clase_B_riesgo_medio
CLI-01006,Cusco,Alto,Media,29501.11,1390.51,0.02,0.9239,Clase_A_bajo_riesgo
CLI-00449,Lima,Bajo,Muy baja,31371.52,1325.58,0.3493,0.3738,Clase_C_alto_riesgo
CLI-01921,La Libertad,Muy alto,Muy alta,79784.67,3897.97,0.041,0.8724,Clase_A_bajo_riesgo
CLI-00218,La Libertad,Medio,Media,33889.79,2312.64,0.0565,0.8341,Clase_A_bajo_riesgo
CLI-00117,Piura,Medio,Baja,35306.27,2089.18,0.2571,0.5086,Clase_B_riesgo_medio
CLI-00755,Lima,Muy alto,Muy alta,103114.91,5528.05,0.0212,0.9586,Clase_A_bajo_riesgo
CLI-00332,La Libertad,Bajo,Muy baja,22992.25,1425.01,0.5178,0.3113,Clase_C_alto_riesgo
CLI-01338,La Libertad,Alto,Muy alta,112128.78,5733.52,0.3179,0.6192,Clase_A_bajo_riesgo
CLI-00102,Cusco,Medio,Baja,86319.21,5496.97,0.4125,0.5071,Clase_B_riesgo_medio
CLI-00071,La Libertad,Alto,Alta,79710.18,4154.79,0.4531,0.4006,Clase_B_riesgo_medio
CLI-00787,Cusco,Muy alto,Media,60075.42,3221.48,0.2852,0.6867,Clase_A_bajo_riesgo
CLI-01680,La Libertad,Medio,Baja,37483.99,1393.91,0.4572,0.5783,Clase_B_riesgo_medio
CLI-01257,Lima,Alto,Baja,63970.33,3173.22,0.1421,0.7904,Clase_A_bajo_riesgo
CLI-00768,Piura,Bajo,Baja,37129.72,1925.45,0.6534,0.2907,Clase_C_alto_riesgo
CLI-01602,Lima,Medio,Baja,65796.59,3605.7,0.327,0.5091,Clase_B_riesgo_medio
CLI-00538,Lima,Bajo,Baja,37431.47,2346.62,0.3751,0.4878,Clase_C_alto_riesgo
CLI-00490,Piura,Medio,Muy baja,54221.95,3533.79,0.6685,0.169,Clase_C_alto_riesgo
CLI-01884,La Libertad,Bajo,Baja,22179.8,1283.63,0.1869,0.708,Clase_B_riesgo_medio
CLI-00066,Arequipa,Alto,Media,77201.73,4083.3,0.4118,0.3382,Clase_C_alto_riesgo
CLI-00955,Lima,Muy alto,Muy alta,127050.5,6001.63,0.4663,0.5443,Clase_B_riesgo_medio
CLI-00876,Lima,Medio,Baja,17003.09,1116.96,0.3656,0.521,Clase_C_alto_riesgo
CLI-00211,Arequipa,Alto,Alta,69022.16,3001.68,0.5476,0.544,Clase_C_alto_riesgo
CLI-01978,Arequipa,Medio,Alta,50974.79,2600.65,0.2064,0.7085,Clase_B_riesgo_medio
CLI-01313,Arequipa,Alto,Alta,67024.3,3318.36,0.0993,0.7777,Clase_A_bajo_riesgo
CLI-00559,La Libertad,Bajo,Muy alta,144693.84,7037.75,0.3253,0.5306,Clase_B_riesgo_medio
CLI-00504,Piura,Muy alto,Media,53280.77,2495.19,0.2364,0.6655,Clase_A_bajo_riesgo
CLI-01722,Lima,Alto,Alta,85628.54,3406.29,0.0402,0.822,Clase_A_bajo_riesgo
CLI-00995,Lima,Bajo,Alta,43596.06,1992.81,0.3228,0.5846,Clase_B_riesgo_medio
CLI-00665,Lima,Medio,Media,49165.17,2153.35,0.3467,0.6181,Clase_A_bajo_riesgo
CLI-01460,Cusco,Medio,Alta,17013.25,1359.52,0.1191,0.8108,Clase_A_bajo_riesgo
CLI-00826,Junín,Alto,Alta,38679.78,2470.34,0.0718,0.8842,Clase_A_bajo_riesgo
CLI-01078,La Libertad,Bajo,Muy baja,26951.8,1762.69,0.4948,0.3708,Clase_C_alto_riesgo
CLI-01865,Junín,Bajo,Media,39314.5,1744.47,0.1582,0.8028,Clase_B_riesgo_medio
CLI-01266,Lima,Bajo,Muy baja,60441.45,2884.62,0.5977,0.2121,Clase_C_alto_riesgo
CLI-01590,La Libertad,Bajo,Muy baja,27924.84,1541.73,0.5793,0.3085,Clase_C_alto_riesgo
CLI-00972,Junín,Bajo,Alta,79170.51,3406.9,0.301,0.4207,Clase_C_alto_riesgo
CLI-00569,Junín,Alto,Media,71597.25,2549.76,0.4745,0.5476,Clase_A_bajo_riesgo
CLI-00411,Lima,Alto,Muy alta,64553.46,3524.81,0.1171,0.7653,Clase_A_bajo_riesgo
CLI-01580,Arequipa,Medio,Muy alta,50661.58,2601.21,0.02,0.9093,Clase_A_bajo_riesgo
CLI-00516,Lima,Muy alto,Muy alta,95957.45,5832.21,0.02,0.8737,Clase_A_bajo_riesgo
CLI-01930,Lima,Bajo,Baja,51118.82,2549.46,0.3126,0.5969,Clase_B_riesgo_medio
CLI-00382,La Libertad,Alto,Muy baja,55774.0,2987.6,0.5525,0.3049,Clase_C_alto_riesgo
CLI-01739,Lima,Alto,Media,31206.07,1683.34,0.3566,0.5548,Clase_B_riesgo_medio
CLI-01079,Lima,Bajo,Alta,72789.95,3558.37,0.2613,0.5846,Clase_B_riesgo_medio
CLI-01718,La Libertad,Bajo,Baja,28695.56,1380.39,0.2973,0.6373,Clase_B_riesgo_medio
CLI-01512,La Libertad,Bajo,Baja,42766.7,2507.59,0.3569,0.5556,Clase_C_alto_riesgo
CLI-00632,Piura,Alto,Muy alta,97269.98,4975.95,0.0734,0.781,Clase_A_bajo_riesgo
CLI-01060,Cusco,Muy alto,Baja,58508.59,2201.25,0.4918,0.5005,Clase_C_alto_riesgo
CLI-01108,La Libertad,Bajo,Media,50896.68,2576.26,0.3688,0.4014,Clase_C_alto_riesgo
CLI-00658,Lima,Alto,Muy alta,29990.01,1748.86,0.0585,0.98,Clase_A_bajo_riesgo
CLI-01776,Lima,Muy alto,Media,107635.11,4981.18,0.1716,0.6948,Clase_A_bajo_riesgo
CLI-00459,Lima,Medio,Alta,34385.65,1832.03,0.2477,0.6176,Clase_B_riesgo_medio
CLI-00321,Arequipa,Alto,Baja,91891.55,4642.28,0.5183,0.4605,Clase_B_riesgo_medio
CLI-01887,Lima,Muy alto,Muy alta,96245.97,4952.98,0.2208,0.7998,Clase_A_bajo_riesgo
CLI-00040,Arequipa,Bajo,Muy baja,20627.96,1142.72,0.724,0.1031,Clase_C_alto_riesgo
CLI-01010,Arequipa,Bajo,Muy baja,38421.57,2128.4,0.55,0.2878,Clase_C_alto_riesgo
CLI-00789,Arequipa,Muy alto,Media,86189.13,4187.06,0.2654,0.5858,Clase_A_bajo_riesgo
CLI-01458,La Libertad,Alto,Muy baja,52698.02,2469.31,0.5031,0.3673,Clase_C_alto_riesgo
CLI-01340,Lima,Medio,Media,75297.51,4350.82,0.4829,0.4424,Clase_C_alto_riesgo
CLI-00096,Arequipa,Alto,Muy alta,88617.53,3902.66,0.1085,0.8002,Clase_A_bajo_riesgo
CLI-01732,Cusco,Muy alto,Muy alta,89470.81,4258.38,0.02,0.98,Clase_A_bajo_riesgo
CLI-00846,Lima,Medio,Media,59850.17,2985.76,0.3294,0.5169,Clase_B_riesgo_medio
CLI-01273,La Libertad,Alto,Alta,30126.48,1390.72,0.135,0.7524,Clase_A_bajo_riesgo
CLI-01801,Junín,Medio,Baja,49041.46,3287.78,0.4175,0.4522,Clase_B_riesgo_medio
CLI-00576,Junín,Medio,Alta,52845.31,2626.31,0.1121,0.6612,Clase_A_bajo_riesgo
CLI-00214,Lima,Muy alto,Baja,44613.35,2076.26,0.2084,0.8138,Clase_A_bajo_riesgo
CLI-01682,Junín,Bajo,Baja,32912.31,1837.98,0.3067,0.6135,Clase_A_bajo_riesgo
CLI-01392,Lima,Alto,Alta,54295.34,2820.98,0.1933,0.7206,Clase_B_riesgo_medio
CLI-00067,Lima,Bajo,Muy baja,46996.36,3033.93,0.6352,0.256,Clase_C_alto_riesgo
CLI-00366,Lima,Bajo,Baja,78361.12,3711.08,0.4543,0.3316,Clase_C_alto_riesgo
CLI-00935,Lima,Alto,Media,56776.48,2789.22,0.2334,0.6345,Clase_A_bajo_riesgo
CLI-00024,Lima,Bajo,Baja,51452.49,2431.19,0.346,0.3725,Clase_C_alto_riesgo
CLI-00001,Lima,Bajo,Media,69904.37,3224.05,0.4605,0.2916,Clase_C_alto_riesgo
CLI-01468,Lima,Alto,Media,95738.65,3780.93,0.3981,0.4527,Clase_C_alto_riesgo
CLI-01198,Junín,Alto,Muy alta,77810.5,3923.55,0.02,0.8983,Clase_A_bajo_riesgo
CLI-00856,Lima,Medio,Baja,53933.03,2981.23,0.3357,0.4767,Clase_C_alto_riesgo
CLI-00531,Piura,Alto,Muy alta,96244.63,4055.03,0.137,0.738,Clase_A_bajo_riesgo
CLI-01708,Lima,Bajo,Baja,22243.97,1628.97,0.3435,0.405,Clase_C_alto_riesgo
CLI-00734,Arequipa,Muy alto,Muy alta,87673.69,4767.88,0.1661,0.7691,Clase_A_bajo_riesgo
CLI-01992,Lima,Bajo,Muy baja,47749.29,2360.43,0.3129,0.4593,Clase_C_alto_riesgo
CLI-01705,Arequipa,Muy alto,Muy alta,54118.68,3124.83,0.0647,0.8495,Clase_A_bajo_riesgo
CLI-01663,Junín,Bajo,Media,39729.29,2509.83,0.1511,0.7364,Clase_B_riesgo_medio
CLI-01057,La Libertad,Medio,Media,50883.13,2272.42,0.173,0.7963,Clase_A_bajo_riesgo
CLI-01592,Junín,Bajo,Baja,43790.36,2158.95,0.4727,0.3671,Clase_C_alto_riesgo
CLI-01397,Arequipa,Alto,Media,57516.8,3000.83,0.1425,0.7574,Clase_A_bajo_riesgo
CLI-00355,Lima,Alto,Media,113615.51,5832.84,0.4037,0.4541,Clase_B_riesgo_medio
CLI-00561,La Libertad,Alto,Baja,55328.83,2866.98,0.5528,0.4338,Clase_C_alto_riesgo
CLI-00642,Lima,Bajo,Muy baja,28680.31,1112.41,0.5729,0.4186,Clase_C_alto_riesgo
CLI-00010,La Libertad,Medio,Alta,53106.8,2624.64,0.157,0.7774,Clase_A_bajo_riesgo
CLI-00737,Lima,Muy alto,Alta,60514.6,2761.58,0.1446,0.7833,Clase_A_bajo_riesgo
CLI-00872,Lima,Muy alto,Media,95302.26,4378.15,0.2416,0.6228,Clase_A_bajo_riesgo
CLI-01054,Piura,Medio,Alta,40763.48,2270.15,0.0453,0.8652,Clase_A_bajo_riesgo
CLI-01365,La Libertad,Muy alto,Muy alta,84849.3,3896.58,0.02,0.9253,Clase_A_bajo_riesgo
CLI-01644,Cusco,Medio,Muy alta,48932.14,2058.59,0.0285,0.776,Clase_A_bajo_riesgo
CLI-01995,La Libertad,Medio,Media,60893.31,2995.35,0.2032,0.6556,Clase_B_riesgo_medio
CLI-00029,Cusco,Bajo,Baja,26774.9,1018.85,0.3764,0.5236,Clase_B_riesgo_medio
CLI-00082,Cusco,Bajo,Baja,60259.04,3043.88,0.4483,0.4318,Clase_C_alto_riesgo
CLI-01550,Cusco,Medio,Baja,41607.47,2245.02,0.2476,0.5801,Clase_B_riesgo_medio
CLI-00512,Lima,Alto,Media,67420.28,3744.03,0.5685,0.3267,Clase_C_alto_riesgo
CLI-01934,Cusco,Bajo,Baja,32267.19,1907.44,0.2329,0.6577,Clase_A_bajo_riesgo
CLI-00966,Lima,Alto,Media,64144.22,3249.0,0.2105,0.6969,Clase_A_bajo_riesgo
CLI-01317,Arequipa,Medio,Alta,68968.5,2928.31,0.175,0.6386,Clase_A_bajo_riesgo
CLI-01162,Lima,Bajo,Muy baja,37127.38,1835.03,0.504,0.3248,Clase_C_alto_riesgo
CLI-00759,Piura,Alto,Alta,57341.19,3032.9,0.2907,0.5427,Clase_B_riesgo_medio
CLI-01651,Lima,Alto,Alta,101964.1,4845.25,0.4659,0.5612,Clase_B_riesgo_medio
CLI-01476,La Libertad,Alto,Alta,81499.36,3929.89,0.403,0.5021,Clase_B_riesgo_medio
CLI-01889,La Libertad,Medio,Muy baja,22735.78,1548.98,0.26,0.6097,Clase_C_alto_riesgo
CLI-01363,Cusco,Alto,Muy alta,49250.36,2382.0,0.1362,0.7493,Clase_A_bajo_riesgo
CLI-00778,La Libertad,Bajo,Media,48901.27,2760.23,0.1475,0.6266,Clase_B_riesgo_medio
CLI-01868,Lima,Alto,Baja,37081.94,2156.42,0.4914,0.3042,Clase_C_alto_riesgo
CLI-00143,Arequipa,Alto,Alta,67416.84,3143.26,0.3041,0.6289,Clase_A_bajo_riesgo
CLI-00706,Junín,Alto,Media,54615.25,2175.59,0.1126,0.7823,Clase_A_bajo_riesgo
CLI-01569,Cusco,Alto,Alta,64217.33,3587.15,0.2633,0.5645,Clase_A_bajo_riesgo
CLI-01664,Arequipa,Bajo,Media,39345.45,2652.59,0.2305,0.7101,Clase_B_riesgo_medio
CLI-00371,Lima,Medio,Media,24933.33,1075.26,0.0651,0.7001,Clase_A_bajo_riesgo
CLI-00045,Lima,Alto,Muy baja,64503.2,3413.24,0.6396,0.2795,Clase_C_alto_riesgo
CLI-00906,Piura,Bajo,Media,47621.42,3153.0,0.0736,0.7804,Clase_A_bajo_riesgo
CLI-01953,Cusco,Muy alto,Baja,58533.46,3039.68,0.5607,0.3419,Clase_C_alto_riesgo
CLI-01793,Arequipa,Medio,Alta,54790.84,2474.16,0.1866,0.7358,Clase_B_riesgo_medio
CLI-00764,La Libertad,Medio,Media,54459.32,3020.53,0.2256,0.5785,Clase_A_bajo_riesgo
CLI-00514,Piura,Medio,Alta,69666.85,3054.77,0.1757,0.6883,Clase_A_bajo_riesgo
CLI-01901,Cusco,Medio,Media,47446.85,2552.93,0.3388,0.4768,Clase_C_alto_riesgo
CLI-00954,Junín,Medio,Alta,37219.9,1353.66,0.229,0.5835,Clase_B_riesgo_medio
